chrom	pos	sid	nt1	nt2	raw_beta	ldpred_beta
chrom1	1000	1_rs0	A	G	0.012502261742053903	0.012502261742053903
chrom1	1001	1_rs1	A	G	-0.015560627680058205	-0.015560627680058205
chrom1	1002	1_rs2	A	G	-0.03371509270387916	-0.03371509270387916
chrom1	1003	1_rs3	A	G	0.009985537851796742	0.009985537851796742
chrom1	1004	1_rs4	A	G	-0.002367844938363374	-0.002367844938363374
chrom1	1005	1_rs5	A	G	-0.010609283854641527	-0.010609283854641527
chrom1	1006	1_rs6	A	G	-0.0030904303024505814	-0.0030904303024505814
chrom1	1007	1_rs7	A	G	-0.01278352846288382	-0.01278352846288382
chrom1	1008	1_rs8	A	G	0.014727493361530402	0.014727493361530402
chrom1	1009	1_rs9	A	G	-0.029108895188851104	-0.029108895188851104
chrom1	1010	1_rs10	A	G	-0.005970586057696635	-0.005970586057696635
chrom1	1011	1_rs11	A	G	-0.007692449971557872	-0.007692449971557872
chrom1	1012	1_rs12	A	G	-0.03487432196594256	-0.03487432196594256
chrom1	1013	1_rs13	A	G	0.01326013489707026	0.01326013489707026
chrom1	1014	1_rs14	A	G	-0.009190508857304464	-0.009190508857304464
chrom1	1015	1_rs15	A	G	0.00029982913466151945	0.00029982913466151945
chrom1	1016	1_rs16	A	G	0.011016432187031838	0.011016432187031838
chrom1	1017	1_rs17	A	G	-0.014275332442103524	-0.014275332442103524
chrom1	1018	1_rs18	A	G	-0.005004533777776211	-0.005004533777776211
chrom1	1019	1_rs19	A	G	-0.02720443912722362	-0.02720443912722362
chrom1	1020	1_rs20	A	G	-0.04102671684722871	-0.04102671684722871
chrom1	1021	1_rs21	A	G	-0.0216615123602491	-0.0216615123602491
chrom1	1022	1_rs22	A	G	-0.004820811025317769	-0.004820811025317769
chrom1	1023	1_rs23	A	G	0.01706674399784291	0.01706674399784291
chrom1	1024	1_rs24	A	G	-0.008252224430093932	-0.008252224430093932
chrom1	1025	1_rs25	A	G	0.016901393113786998	0.016901393113786998
chrom1	1026	1_rs26	A	G	-0.009852831074577852	-0.009852831074577852
chrom1	1027	1_rs27	A	G	-0.017145445479174747	-0.017145445479174747
chrom1	1028	1_rs28	A	G	-0.017966148118464028	-0.017966148118464028
chrom1	1029	1_rs29	A	G	-0.02280785218794569	-0.02280785218794569
chrom1	1030	1_rs30	A	G	0.008393790929400747	0.008393790929400747
chrom1	1031	1_rs31	A	G	-0.026451708051660465	-0.026451708051660465
chrom1	1032	1_rs32	A	G	-0.011063227931335217	-0.011063227931335217
chrom1	1033	1_rs33	A	G	-0.002909672297967433	-0.002909672297967433
chrom1	1034	1_rs34	A	G	0.06159154528657679	0.06159154528657679
chrom1	1035	1_rs35	A	G	-0.02238881702623982	-0.02238881702623982
chrom1	1036	1_rs36	A	G	-0.010918355701257324	-0.010918355701257324
chrom1	1037	1_rs37	A	G	-0.015956861508592286	-0.015956861508592286
chrom1	1038	1_rs38	A	G	-0.011073878873293575	-0.011073878873293575
chrom1	1039	1_rs39	A	G	-0.0021756280598941133	-0.0021756280598941133
chrom1	1040	1_rs40	A	G	0.02015123406944625	0.02015123406944625
chrom1	1041	1_rs41	A	G	0.0006766161182038547	0.0006766161182038547
chrom1	1042	1_rs42	A	G	-0.01892932682097042	-0.01892932682097042
